date,codneg,preult,voltot
2015-03-10,PSVM11,3.39,339.0
2015-03-11,PSVM11,3.38,1014.0
2015-03-13,PSVM11,3.39,1017.0
2015-03-31,PSVM11,2.0,6054400.0
2015-04-01,PSVM11,2.0,5200.0
2015-04-02,PSVM11,2.1,210.0
2015-04-06,PSVM11,2.0,400.0
2015-04-07,PSVM11,2.3,3800.0
2015-04-08,PSVM11,2.4,240.0
2015-04-14,PSVM11,2.6,260.0
2015-04-20,PSVM11,2.8,1304.0
2015-04-27,PSVM11,2.8,781.0
2015-04-30,PSVM11,2.8,1491.0
2015-05-04,PSVM11,2.8,560.0
2015-05-11,PSVM11,2.45,245.0
2015-05-13,PSVM11,2.85,825.0
2015-05-26,PSVM11,3.0,1911.0
2015-06-01,PSVM11,2.99,879.0
2015-06-03,PSVM11,2.89,13279.0
2015-06-05,WIZS3,13.9,214275840.0
2015-06-08,WIZS3,13.78,22715018.0
2015-06-09,WIZS3,13.65,29549281.0
2015-06-10,WIZS3,14.0,9393396.0
2015-06-10,PSVM11,2.85,3985.0
2015-06-11,WIZS3,14.26,15729891.0
2015-06-11,PSVM11,2.99,299.0
2015-06-12,WIZS3,14.53,11379784.0
2015-06-15,WIZS3,14.64,4431499.0
2015-06-16,WIZS3,14.55,12081294.0
2015-06-17,WIZS3,14.25,6749284.0
2015-06-18,WIZS3,14.6,11327207.0
2015-06-19,WIZS3,14.7,7711200.0
2015-06-22,WIZS3,14.78,3591323.0
2015-06-23,WIZS3,14.6,7778960.0
2015-06-23,PSVM11,2.99,24079.0
2015-06-24,WIZS3,14.51,3272194.0
2015-06-25,WIZS3,13.95,12246481.0
2015-06-26,WIZS3,13.4,15856511.0
2015-06-29,WIZS3,13.25,41293260.0
2015-06-30,WIZS3,13.56,24952717.0
2015-07-01,WIZS3,13.7,14255989.0
2015-07-01,PSVM11,2.8,4200.0
2015-07-02,WIZS3,14.07,13243612.0
2015-07-03,WIZS3,14.2,5134416.0
2015-07-06,WIZS3,14.06,5581027.0
2015-07-07,WIZS3,14.0,3250993.0
2015-07-08,PSVM11,2.8,7140.0
2015-07-08,WIZS3,14.0,3354764.0
2015-07-10,WIZS3,14.0,1816293.0
2015-07-13,WIZS3,14.05,3278308.0
2015-07-14,WIZS3,13.95,3027840.0
2015-07-15,WIZS3,14.05,1434664.0
2015-07-15,PSVM11,2.98,298.0
2015-07-16,WIZS3,14.3,1964073.0
2015-07-17,WIZS3,14.3,2501762.0
2015-07-20,WIZS3,14.1,6048134.0
2015-07-21,WIZS3,13.9,1892624.0
2015-07-22,WIZS3,13.99,6211253.0
2015-07-23,WIZS3,13.99,2721142.0
2015-07-23,PSVM11,2.1,159865.0
2015-07-24,WIZS3,13.8,6308529.0
2015-07-27,WIZS3,13.7,6132719.0
2015-07-28,WIZS3,13.99,6128270.0
2015-07-28,PSVM11,2.2,2200.0
